instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
Alamance Community College,36.066683,Alamance Community College,ACC | Technical Institute of Alamance | Alamance College |,-79.357657,00546300  ,36.066683,-79.357657,00546300  ,
Alamo City Barber College,29.527170,Alamo City Barber College,ACBC LLC,-98.639532,04231900  ,,,,
Alamo Community College District Central Office,29.445773,Alamo Community College District Central Office, ,-98.474082,00360700  ,29.415703,-98.497536,00360700  ,
Alaska Bible College,61.598553,Alaska Bible College, ,-149.111972,00884300  ,62.112960,-145.526240,00884300  ,
Alaska Career College,61.181443,Alaska Career College, ,-149.856954,02541000  ,61.181443,-149.856954,02541000  ,
Alaska Christian College,60.490459,Alaska Christian College, ,-151.136005,04138600  ,60.490459,-151.136005,04138600  ,
Alaska Pacific University,61.190968,Alaska Pacific University, ,-149.804168,00106100  ,61.191235,-149.804242,00106100  ,
Alaska Vocational Technical Center,60.110626,Alaska Vocational Technical Center,AVTEC,-149.444487,03160300  ,60.110727,-149.444573,03160300  ,
Albany BOCES-Adult Practical Nursing Program,42.745685,Albany BOCES-Adult Practical Nursing Program, ,-73.835752,02170200  ,42.743110,-73.836922,02170200  ,
Albany College of Pharmacy and Health Sciences,42.650371,Albany College of Pharmacy and Health Sciences, ,-73.779063,00288500  ,42.652559,-73.778132,00288500  ,
Albany Law School,42.651818,Albany Law School, ,-73.777495,00288600  ,42.651264,-73.777692,00288600  ,
Albany Medical College,42.653820,Albany Medical College, ,-73.777289,00288700  ,42.653178,-73.773975,00288700  ,
Albany State University,31.569280,Albany State University, ,-84.141825,00154400  ,31.571395,-84.143060,00154400  ,
Albany Technical College,31.554340,Albany Technical College, ,-84.174284,00560100  ,31.554340,-84.174284,00560100  ,
Albert Einstein College of Medicine,40.852847,Albert Einstein College of Medicine, ,-73.846327,04279700  ,,,,
Albertus Magnus College,41.332519,Albertus Magnus College, ,-72.923848,00137400  ,41.332519,-72.923848,00137400  ,
Albion College,42.245049,Albion College, ,-84.745639,00223500  ,42.244603,-84.746088,00223500  ,
Albright College,40.361351,Albright College, ,-75.909742,00322900  ,40.360248,-75.910152,00322900  ,
Alcorn State University,31.877216,Alcorn State University, ,-91.142854,00239600  ,31.877216,-91.142854,00239600  ,
Alderson Broaddus University,39.158067,Alderson Broaddus University,Alderson-Broaddus College,-80.047728,00380600  ,39.158067,-80.047728,00380600  ,
Alexander Academy,42.587705,Alexander Academy, ,-71.769406,04193100  ,42.585673,-71.812864,04193100  ,
Alexander Paul Institute of Hair Design,35.604962,Alexander Paul Institute of Hair Design,Alexander Paul Institute,-77.371696,04219100  ,,,,
Alexandria School of Scientific Therapeutics,40.255608,Alexandria School of Scientific Therapeutics,ASSTI,-85.674016,03538300  ,40.255464,-85.674191,03538300  ,
Alexandria Technical & Community College,45.873107,Alexandria Technical & Community College,ATCC,-95.372369,00554400  ,45.868592,-95.371579,00554400  ,
Alfred University,42.254476,Alfred University, ,-77.788106,00266800  ,42.255866,-77.788625,00266800  ,
Alhambra Beauty College,34.093916,Alhambra Beauty College, ,-118.129041,02282300  ,34.093916,-118.129041,02282300  ,
Alhambra Medical University,34.080181,Alhambra Medical University,Fen Wu University of Alternative Medicine,-118.148684,04243100  ,,,,
Alice Lloyd College,37.335087,Alice Lloyd College, ,-82.875068,00195100  ,37.335087,-82.875068,00195100  ,
All Beauty College,34.496060,All Beauty College, ,-114.338235,04174202  ,,,,
All Beauty College,35.021355,All Beauty College, ,-114.600955,04174200  ,35.020680,-114.597830,04174200  ,
