instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
Southwestern College,37.248608,Southwestern College,SC,-96.975405,00194000  ,37.249300,-96.978300,00194000  ,
Southwestern Community College,35.348575,Southwestern Community College, ,-83.207129,00846600  ,35.348575,-83.207129,00846600  ,
Southwestern Community College,41.073437,Southwestern Community College,SWCC,-94.380906,00185700  ,41.073437,-94.380906,00185700  ,
Southwestern Illinois College,38.516406,Southwestern Illinois College,SWIC  Belleville Area College  BAC,-89.924466,00163600  ,38.516406,-89.924466,00163600  ,
Southwestern Indian Polytechnic Institute,35.176084,Southwestern Indian Polytechnic Institute,SIPI  S.I.P.I.,-106.664475,02511000  ,35.176075,-106.663062,02511000  ,
Southwestern Law School,34.061558,Southwestern Law School, ,-118.288375,00129500  ,34.061558,-118.288375,00129500  ,
Southwestern Michigan College,41.965095,Southwestern Michigan College,SMC,-86.082715,00231700  ,41.965179,-86.082941,00231700  ,
Southwestern Oklahoma State University,35.535281,Southwestern Oklahoma State University,SWOSU|Southwestern|Southwestern Oklahoma State University Weatherford Campus|Southwestern Oklahoma State University Sayre Campus,-98.707768,00318100  ,35.534609,-98.707964,00318100  ,
Southwestern Oregon Community College,43.395327,Southwestern Oregon Community College, ,-124.252240,00322000  ,43.395327,-124.252240,00322000  ,
Southwestern University,30.634341,Southwestern University,SU,-97.665738,00362000  ,30.635194,-97.664637,00362000  ,
Sovah School of Health Professions,36.577965,Sovah School of Health Professions, ,-79.405312,02111600  ,36.578155,-79.405414,02111600  ,
SOWELA Technical Community College,30.217331,SOWELA Technical Community College,SOWELA,-93.162520,00546700  ,30.217331,-93.162520,00546700  ,
Spa Tech Institute-Ipswich,42.688622,Spa Tech Institute-Ipswich, ,-70.849391,02104402  ,42.688622,-70.849391,02104402  ,
Spa Tech Institute-Plymouth,41.958481,Spa Tech Institute-Plymouth, ,-70.704453,02104404  ,41.958456,-70.704511,02104404  ,
Spa Tech Institute-Westboro,42.285984,Spa Tech Institute-Westboro, ,-71.635686,02104403  ,42.285984,-71.635686,02104403  ,
Spa Tech Institute-Westbrook,43.676590,Spa Tech Institute-Westbrook, ,-70.335331,02104400  ,43.677708,-70.334178,02104400  ,
Spalding University,38.242407,Spalding University,Spalding,-85.757725,00196000  ,38.241814,-85.759050,00196000  ,
Spartan College of Aeronautics & Technology,33.956018,Spartan College of Aeronautics & Technology,Los Angeles Campus,-118.377744,02596400  ,33.956018,-118.377744,02596400  ,
Spartan College of Aeronautics and Technology,39.914822,Spartan College of Aeronautics and Technology,Spartan College-Denver (Broomfield),-105.119096,00729700  ,39.914822,-105.119096,00729700  ,
Spartan College of Aeronautics and Technology,36.176642,Spartan College of Aeronautics and Technology,Spartan College-Tulsa,-95.878902,00767800  ,36.178011,-95.879012,00767800  ,
Spartan College of Aeronautics and Technology,33.990127,Spartan College of Aeronautics and Technology,Inland Empire Campus,-117.408335,02596413  ,,,,
Spartanburg Community College,34.974587,Spartanburg Community College, ,-81.989811,00399400  ,34.974582,-81.989802,00399400  ,
Spartanburg Methodist College,34.955117,Spartanburg Methodist College,SMC,-81.970863,00344700  ,34.954585,-81.970898,00344700  ,
Specs Howard School of Media Arts,42.459245,Specs Howard School of Media Arts,Specs Howard School of Broadcast Arts,-83.239309,02237800  ,42.459245,-83.239309,02237800  ,
Spelman College,33.745279,Spelman College, ,-84.411527,00159400  ,33.745190,-84.410118,00159400  ,
Spertus College,41.873881,Spertus College,Spertus Institute of Jewish Studies  Spertus Institute for Jewish Learning and Leadership,-87.624785,00166300  ,41.872741,-87.624634,00166300  ,
Spokane Community College,47.674034,Spokane Community College, ,-117.360065,00379300  ,47.672571,-117.360957,00379300  ,
Spokane Falls Community College,47.676741,Spokane Falls Community College, ,-117.463538,00954400  ,47.676741,-117.463538,00954400  ,
Spoon River College,40.527991,Spoon River College,SRC|Spoon|Spoon River,-90.072330,00164300  ,40.527896,-90.072216,00164300  ,
Spring Arbor University,42.206568,Spring Arbor University,SAU | SAC | Spring Arbor College | Spring Arber Unviversity | Spring Arbor | Spring Arber | Spring Arbor Collage,-84.556074,00231800  ,42.206233,-84.551918,00231800  ,
Spring Hill College,30.694751,Spring Hill College,Springhill|Springhill College|SHC|the Hill,-88.138199,00104100  ,30.694751,-88.138199,00104100  ,
Springfield College,42.101576,Springfield College, ,-72.556751,00221100  ,42.105033,-72.555688,00221100  ,
Springfield College-Regional  Online  and Continuing Education,42.102200,Springfield College-Regional  Online  and Continuing Education, ,-72.556647,00221100  ,42.118297,-72.547204,00221100  ,
Springfield Technical Community College,42.108827,Springfield Technical Community College,STCC,-72.578514,00807800  ,42.108393,-72.581598,00807800  ,
St Bernard's School of Theology and Ministry,43.102185,St Bernard's School of Theology and Ministry,SBSTM  St. Bernard's,-77.526326,00281500  ,43.102185,-77.526326,00281500  ,
St Bonaventure University,42.080191,St Bonaventure University,St. Bona/Bonas,-78.481107,00281700  ,42.078630,-78.475860,00281700  ,
St Catherine University,44.924926,St Catherine University,St. Kate's,-93.183761,00234200  ,44.924542,-93.181925,00234200  ,
St Charles Community College,38.759703,St Charles Community College,SCC,-90.641105,02530600  ,38.760425,-90.640147,02530600  ,
St Clair County Community College,42.979494,St Clair County Community College,SC4,-82.428717,00231000  ,42.979494,-82.428717,00231000  ,
St Cloud Technical and Community College,45.579065,St Cloud Technical and Community College,SCTCC,-94.175841,00553400  ,45.580341,-94.176938,00553400  ,
St Francis College,40.693228,St Francis College,SFC,-73.992164,00282000  ,40.693076,-73.991653,00282000  ,
St Francis Medical Center-School of Radiologic Technology,40.216592,St Francis Medical Center-School of Radiologic Technology, ,-74.741869,00642902  ,40.216592,-74.741869,00642902  ,
St John's Seminary,34.243921,St John's Seminary,SJS | St John's Seminary | Saint John's Seminary,-119.001867,00129900  ,34.244034,-119.001395,00129900  ,
St John's University-New York,40.722523,St John's University-New York, ,-73.796104,00282300  ,40.721979,-73.795301,00282300  ,
St Joseph School of Nursing,42.750142,St Joseph School of Nursing, ,-71.478401,02140400  ,42.749990,-71.478977,02140400  ,
St Joseph School of Nursing,41.856096,St Joseph School of Nursing, ,-71.459428,00659100  ,41.856096,-71.459428,00659100  ,
St Lawrence University,44.589879,St Lawrence University, ,-75.161343,00282900  ,44.589879,-75.161343,00282900  ,
St Louis College of Health Careers-Fenton,38.544635,St Louis College of Health Careers-Fenton,SLCHC,-90.470904,02340501  ,38.544635,-90.470904,02340501  ,
St Louis College of Health Careers-St Louis,38.631550,St Louis College of Health Careers-St Louis,SLCHC,-90.261940,02340500  ,38.631599,-90.260564,02340500  ,
St Luke's College,42.520081,St Luke's College, ,-96.404724,00729100  ,42.517806,-96.404922,00729100  ,
St Lukes Hospital School of Nursing,40.607054,St Lukes Hospital School of Nursing, ,-75.394494,00657400  ,40.608185,-75.392396,00657400  ,
St Margaret School of Nursing,40.491687,UPMC St. Margaret School of Nursing, ,-79.863106,00655100  ,40.491134,-79.864028,00655100  ,
St Olaf College,44.461529,St Olaf College, ,-93.182039,00238200  ,44.462884,-93.183633,00238200  ,
St Paul's School of Nursing-Queens,40.729210,St Paul's School of Nursing-Queens,SVCMCNY SCHOOL OF NURSING B & Q,-73.858441,01236400  ,40.769160,-73.835870,01236400  ,
St Paul's School of Nursing-Staten Island,40.605584,St Paul's School of Nursing-Staten Island,SVCMCNY SCHOOL OF NURSING SI,-74.179757,00947900  ,40.605686,-74.179282,00947900  ,
St Petersburg College,27.902420,St Petersburg College,SPC  Saint Petersburg College  St. Petersburg College,-82.717331,00152800  ,27.900968,-82.717342,00152800  ,
St Philip's College,29.415080,St Philip's College, ,-98.453285,00360800  ,29.414560,-98.452987,00360800  ,
St. Andrews University,34.745630,St. Andrews University,SAU,-79.478567,00154001  ,34.746283,-79.478385,00154001  ,
St. John's College,35.666974,St. John's College, ,-105.912478,00209300  ,35.666789,-105.912226,00209300  ,
St. John's College,38.981598,St. John's College,SJC,-76.491359,00209200  ,38.981513,-76.491397,00209200  ,
St. John's College-Department of Nursing,39.807602,St. John's College-Department of Nursing,St Johns School of Nursing  St John's College of Nursing,-89.645320,03098000  ,39.807318,-89.645795,03098000  ,
St. Joseph's College of Nursing,43.055355,St. Joseph's College of Nursing, ,-76.148355,00646700  ,43.055355,-76.148355,00646700  ,
St. Joseph's College-Long Island,40.775933,St. Joseph's College-Long Island, ,-73.024661,00282501  ,,,,
St. Joseph's College-New York,40.690418,St. Joseph's College-New York, ,-73.967664,00282500  ,40.690485,-73.968037,00282500  ,
St. Louis College of Pharmacy,38.636904,St. Louis College of Pharmacy, ,-90.260617,00250400  ,38.637165,-90.260357,00250400  ,
St. Mary's College of Maryland,38.190904,St. Mary's College of Maryland,St. Mary's or SMCM,-76.429097,00209500  ,38.188615,-76.425706,00209500  ,
St. Mary's University,29.453244,St. Mary's University, ,-98.562778,00362300  ,29.451793,-98.564307,00362300  ,
St. Peter's Hospital College of Nursing,42.658346,St. Peter's Hospital College of Nursing,Albany Memorial Hospital School of Nursing/Memorial School of Nursing,-73.807616,01220300  ,42.673642,-73.750114,01220300  ,
St. Thomas Aquinas College,41.041576,St. Thomas Aquinas College,STAC,-73.936799,00283200  ,41.041126,-73.934182,00283200  ,
St. Thomas University,25.922071,St. Thomas University,St Thomas University  Saint Thomas University,-80.253273,00146800  ,25.920915,-80.256265,00146800  ,
Stacey James Institute,39.533193,Stacey James Institute, ,-104.794689,04271000  ,,,,
Stage One-The Hair School,30.195982,Stage One-The Hair School, ,-93.221606,02358600  ,30.196100,-93.221527,02358600  ,
Stanbridge University,33.678879,Stanbridge University, ,-117.857636,03889300  ,33.678879,-117.857636,03889300  ,
Stanbridge University-Los Angeles,34.080319,Stanbridge University-Los Angeles, ,-118.148790,03889301  ,,,,
Standard Healthcare Services-College of Nursing,38.908263,Standard Healthcare Services-College of Nursing,Standard College of Nursing,-77.210082,04221000  ,,,,
Stanford University,37.429434,Stanford University, ,-122.167359,00130500  ,37.431746,-122.182212,00130500  ,
Stanly Community College,35.339895,Stanly Community College,Stanly Technical College| Stanly Technical Institute|Stanley Technical College| Stanley Community College| Stanley Technical Institute| Stanly Tech| Stanley Tech|,-80.236303,01119400  ,35.339846,-80.236005,01119400  ,
Star College of Cosmetology 2,32.347643,Star College of Cosmetology 2, ,-95.295738,03061800  ,32.347649,-95.295745,03061800  ,
Stark State College,40.870597,Stark State College, ,-81.439017,01088100  ,40.869332,-81.437798,01088100  ,
Starr King School for the Ministry,37.876939,Starr King School for the Ministry, ,-122.261778,00408000  ,37.876939,-122.261778,00408000  ,
State Career College,42.370787,State Career College,SCC,-87.870502,04189600  ,42.370377,-87.870461,04189600  ,
State Center Community College District,36.735642,State Center Community College District, ,-119.792324,00130600  ,36.768865,-119.792755,00130600  ,
State College of Beauty Culture Inc,44.936911,State College of Beauty Culture Inc, ,-89.618062,00941900  ,44.958536,-89.625182,00941900  ,
State College of Florida-Manatee-Sarasota,27.438040,State College of Florida-Manatee-Sarasota,SCF,-82.590887,00150400  ,27.436066,-82.591739,00150400  ,
State Fair Community College,38.696423,State Fair Community College, ,-93.268028,00808000  ,38.699145,-93.269608,00808000  ,
State Technical College of Missouri,38.467699,State Technical College of Missouri,State Tech,-91.814259,00471100  ,38.468301,-91.811298,00471100  ,
State University of New York at New Paltz,41.740936,State University of New York at New Paltz,State University of New York at New Paltz,-74.082188,00284600  ,41.737205,-74.088727,00284600  ,
Staunton School of Cosmetology,38.149508,Staunton School of Cosmetology, ,-79.070811,00953500  ,38.149493,-79.070618,00953500  ,
Stautzenberger College-Brecksville,41.288862,Stautzenberger College-Brecksville, ,-81.645056,00486607  ,41.288779,-81.643206,00486607  ,
Stautzenberger College-Maumee,41.582662,Stautzenberger College-Maumee, ,-83.683042,00486600  ,41.583440,-83.685060,00486600  ,
Stautzenberger College-Rockford Career College,42.255903,Stautzenberger College-Rockford Career College, ,-89.027291,00486611  ,,,,
Stellar Career College,37.701963,Stellar Career College,Stellar Career College,-121.071015,03759300  ,37.702154,-121.071547,03759300  ,
Stephen F Austin State University,31.621056,Stephen F Austin State University,SFASU  SFA  Stephen F  Stephen F. Austin,-94.649080,00362400  ,31.585620,-94.585460,00362400  ,
Stephens College,38.952040,Stephens College,Stephens,-92.319204,00251200  ,38.950631,-92.322997,00251200  ,
Sterling College,38.219937,Sterling College,SC,-98.208644,00194500  ,38.219783,-98.209966,00194500  ,
Sterling College,44.652250,Sterling College, ,-72.382372,02143500  ,44.652250,-72.382372,02143500  ,
Stetson University,29.035475,Stetson University, ,-81.300746,00153100  ,29.036295,-81.301604,00153100  ,
Steven Papageorge Hair Academy,41.939685,Steven Papageorge Hair Academy,steven papageorge hair academy,-87.657152,02228100  ,41.939774,-87.656981,02228100  ,
Stevens Institute of Technology,40.744776,Stevens Institute of Technology,Stevens,-74.025334,00263900  ,40.744776,-74.025334,00263900  ,
Stevens-Henager College,43.591087,Stevens-Henager College, ,-116.278290,00367406  ,43.591449,-116.280672,00367406  ,
Stevens-Henager College,41.718039,Stevens-Henager College, ,-111.835961,00367405  ,41.718039,-111.835961,00367405  ,
Stevens-Henager College,41.232847,Stevens-Henager College, ,-112.011617,00367400  ,41.232847,-112.011617,00367400  ,
Stevens-Henager College,40.659626,Stevens-Henager College, ,-111.902145,00367403  ,40.659626,-111.902145,00367403  ,
Stevens-Henager College,43.483460,Stevens-Henager College,Branch of CollegeAmerica Flagstaff,-112.051560,03120302  ,43.483964,-112.051195,03120302  ,
Stevens-Henager College,40.269691,Stevens-Henager College, ,-111.713264,00367401  ,40.269691,-111.713264,00367401  ,
Stevens-Henager College,37.095406,Stevens-Henager College, ,-113.557643,00367411  ,37.096020,-113.557175,00367411  ,
Stevens-The Institute of Business & Arts,38.632917,Stevens-The Institute of Business & Arts,Patricia Stevens College,-90.201157,00855200  ,38.632697,-90.201136,00855200  ,
Stevenson University,39.421988,Stevenson University, ,-76.702092,00210700  ,39.421264,-76.701247,00210700  ,
Stevensons Academy of Hair Design,29.948438,Stevensons Academy of Hair Design, ,-90.052219,02269300  ,29.948489,-90.052369,02269300  ,
Stewart School,43.554991,Stewart School, ,-96.746329,01013800  ,43.555418,-96.746095,01013800  ,
Stillman College,33.200006,Stillman College, ,-87.585278,00104400  ,33.199228,-87.585242,00104400  ,
Stockton Christian Life College,38.029827,Stockton Christian Life College, ,-121.296258,04281600  ,,,,
Stockton University,39.492036,Stockton University, ,-74.531087,00934500  ,39.492036,-74.531087,00934500  ,
Stone Academy-East Hartford,41.779013,Stone Academy-East Hartford, ,-72.606686,01242504  ,41.779013,-72.606686,01242504  ,
Stone Academy-Waterbury,41.545090,Stone Academy-Waterbury, ,-72.980330,01242503  ,41.545090,-72.980330,01242503  ,
Stone Academy-West Haven,41.267503,Stone Academy-West Haven, ,-72.976966,01242500  ,41.268585,-72.977408,01242500  ,
Stone Child College,48.289808,Stone Child College,SCC,-109.870182,02610900  ,48.300808,-109.868119,02610900  ,
Stonehill College,42.059050,Stonehill College, ,-71.080632,00221700  ,42.061448,-71.078123,00221700  ,
Stony Brook University,40.914760,Stony Brook University,SUNY Stony Brook  State University of New York at Stony Brook,-73.120460,00283800  ,40.916417,-73.147259,00283800  ,
Strand College of Hair Design,33.748079,Strand College of Hair Design, ,-78.815961,03293300  ,33.747850,-78.815652,03293300  ,
Strand Institute of Beauty & Esthetics,27.878924,Strand Institute of Beauty & Esthetics, ,-97.319593,04274500  ,,,,
Stratford School for Aviation Maintenance Technicians,41.161259,Stratford School for Aviation Maintenance Technicians, ,-73.130761,02565000  ,41.249749,-73.046359,02565000  ,
Stratford University,38.874798,Stratford University, ,-77.310970,02541200  ,38.875685,-77.311419,02541200  ,
Strayer University-Alabama,33.438720,Strayer University-Alabama, ,-86.717661,00145953  ,33.438122,-86.718090,00145953  ,
Strayer University-Arkansas,34.747350,Strayer University-Arkansas, ,-92.396031,00145984  ,34.748378,-92.394918,00145984  ,
Strayer University-Delaware,39.686127,Strayer University-Delaware, ,-75.660093,00145948  ,39.686023,-75.660657,00145948  ,
Strayer University-District of Columbia,38.904881,Strayer University-District of Columbia, ,-77.034133,00145900  ,38.904851,-77.034349,00145900  ,
Strayer University-Florida,27.997442,Strayer University-Florida, ,-82.359910,00145943  ,27.990031,-82.546233,00145942  ,
Strayer University-Georgia,33.874236,Strayer University-Georgia, ,-84.275624,00145939  ,33.874786,-84.275501,00145939  ,
Strayer University-Global Region,38.904850,Strayer University-Global Region, ,-77.034001,00145900  ,38.904851,-77.034526,00145900  ,
Strayer University-Maryland,38.827438,Strayer University-Maryland, ,-76.918039,00145911  ,38.826021,-76.920376,00145911  ,
Strayer University-Mississippi,32.300562,Strayer University-Mississippi, ,-90.188097,00145991  ,32.380358,-90.149792,00145991  ,
Strayer University-New Jersey,39.939316,Strayer University-New Jersey, ,-75.015401,00145961  ,39.939653,-75.015578,00145961  ,
Strayer University-North Carolina,35.865460,Strayer University-North Carolina, ,-78.822452,00145929  ,35.861157,-78.818331,00145929  ,
Strayer University-Pennsylvania,40.137976,Strayer University-Pennsylvania, ,-74.965749,00145935  ,40.137325,-74.964088,00145935  ,
Strayer University-South Carolina,34.856540,Strayer University-South Carolina, ,-82.357811,00145937  ,34.826496,-82.369869,00145937  ,
Strayer University-Tennessee,35.077513,Strayer University-Tennessee, ,-89.899255,00145932  ,35.077208,-89.901979,00145932  ,
Strayer University-Texas,30.371175,Strayer University-Texas, ,-97.739850,00145987  ,30.372210,-97.740492,00145987  ,
Strayer University-Virginia,38.890995,Strayer University-Virginia, ,-77.085294,00145901  ,38.890735,-77.085440,00145901  ,
Strayer University-West Virginia,38.454703,Strayer University-West Virginia, ,-81.928375,00145974  ,38.453540,-81.927020,00145974  ,
Studio Academy of Beauty,33.314894,Studio Academy of Beauty, ,-111.860316,04152900  ,33.314670,-111.843180,04152900  ,
Studio Beauty School,47.657655,Studio Beauty School, ,-117.270239,04231000  ,,,,
Studio Incamminati,39.958981,Studio Incamminati,Studio Incamminati  School for Contemporary Realist Art,-75.158463,04232000  ,,,,
Studio Jewelers,40.745464,Studio Jewelers, ,-73.983774,03169300  ,40.745464,-73.983774,03169300  ,
Stylemaster College of Hair Design,46.136018,Stylemaster College of Hair Design, ,-122.934592,02202200  ,46.135905,-122.934826,02202200  ,
Suffolk Beauty Academy,36.739517,Suffolk Beauty Academy, ,-76.563917,02538800  ,36.739510,-76.563928,02538800  ,
Suffolk County Community College,40.848963,Suffolk County Community College, ,-73.056165,00287800  ,40.848963,-73.056165,00287800  ,
Suffolk University,42.357945,Suffolk University, ,-71.060917,00221800  ,42.359096,-71.061808,00221800  ,
Sul Ross State University,30.363139,Sul Ross State University,Sul Ross,-103.651469,00362500  ,30.362843,-103.653739,00362500  ,
Sullivan County Community College,41.764100,Sullivan County Community College,SUNY Sullivan  SCCC,-74.667769,00287900  ,41.764174,-74.668376,00287900  ,
Sullivan University,38.212824,Sullivan University, ,-85.670489,00461900  ,38.212824,-85.670489,00461900  ,
SUM Bible College and Theological Seminary,38.620464,SUM Bible College and Theological Seminary,School of Urban Missions,-121.055684,03752400  ,37.734083,-122.177765,03752400  ,
Summit Academy Opportunities Industrialization Center,44.983569,Summit Academy Opportunities Industrialization Center, ,-93.292776,02260500  ,44.983265,-93.295151,02260500  ,
Summit Christian College,41.829274,Summit Christian College, ,-103.675715,04240800  ,41.829274,-103.675715,00763800  ,
Summit College,34.056313,Summit College, ,-117.304456,03108100  ,34.054020,-117.309750,03108100  ,
Summit Salon Academy,40.060996,Summit Salon Academy, ,-85.653588,04166700  ,40.060730,-85.652997,04166700  ,
Summit Salon Academy,47.223485,Summit Salon Academy,Summit Salon Academy Tacoma,-122.472325,04170100  ,47.222671,-122.471460,04170100  ,
Summit Salon Academy,28.051825,Summit Salon Academy, ,-82.525411,04163000  ,28.052077,-82.523798,04163000  ,
Summit Salon Academy Kansas City,39.079093,Summit Salon Academy Kansas City, ,-94.426462,00959000  ,39.079522,-94.425816,00959000  ,
Summit Salon Academy-Gainesville,29.654808,Summit Salon Academy-Gainesville,Summit Salon Academy - Gainesville,-82.416921,04163100  ,29.655500,-82.416164,04163100  ,
Summit Salon Academy-Kokomo,40.474971,Summit Salon Academy-Kokomo,Summit Salon Academy,-86.106111,04186600  ,40.476471,-86.107545,04186600  ,
Summit Salon Academy-Lexington,38.028451,Summit Salon Academy-Lexington, ,-84.453521,01042400  ,38.032367,-84.490476,01042400  ,
Summit Salon Academy-Perrysburg,41.544240,Summit Salon Academy-Perrysburg,Summit Salon Academy-Perrysburg,-83.620281,04166800  ,41.545444,-83.620821,04166800  ,
Summit Salon Academy-Portland,45.433994,Summit Salon Academy-Portland,Summit Salon Academy-PDX,-122.766574,01300800  ,45.433994,-122.766574,01300800  ,
Sumner College,45.574935,Sumner College, ,-122.576024,02104900  ,45.460844,-122.706054,02104900  ,
Sumter Beauty College,33.945259,Sumter Beauty College, ,-80.350824,02567600  ,33.944590,-80.351865,02567600  ,
Suncoast Technical College,27.285486,Suncoast Technical College,Suncoast Technical College,-82.500827,00560700  ,27.285486,-82.500827,00560700  ,
Suncoast Technical Education Center,28.488302,Suncoast Technical Education Center, ,-82.463419,04270800  ,,,,
Sunstate Academy,27.967041,Sunstate Academy, ,-82.732693,02524000  ,27.967041,-82.732693,02524000  ,
Sunstate Academy,26.596006,Sunstate Academy,Sunstate Academy FM,-81.870312,02326900  ,26.595777,-81.868291,02326900  ,
Sunstate Academy-Jones Technical Institute,30.208130,Sunstate Academy-Jones Technical Institute,J-Tech,-81.561491,02524002  ,,,,
SUNY at Albany,42.685489,SUNY at Albany,University at Albany  SUNY,-73.824662,00283500  ,42.686917,-73.825014,00283500  ,
SUNY at Fredonia,42.452236,SUNY at Fredonia, ,-79.337375,00284400  ,42.450961,-79.336109,00284400  ,
SUNY at Purchase College,41.047223,SUNY at Purchase College,Purchase College,-73.701955,00679100  ,41.047092,-73.700127,00679100  ,
SUNY Broome Community College,42.135872,SUNY Broome Community College, ,-75.908065,00286200  ,42.135320,-75.909212,00286200  ,
SUNY Buffalo State,42.933832,SUNY Buffalo State,Buffalo State,-78.882125,00284200  ,42.934199,-78.880670,00284200  ,
SUNY College at Brockport,43.211926,SUNY College at Brockport,State University of New York,-77.947188,00284100  ,43.209862,-77.949824,00284100  ,
SUNY College at Geneseo,42.796645,SUNY College at Geneseo,SUNY Geneseo,-77.821894,00284500  ,42.796864,-77.821999,00284500  ,
SUNY College at Old Westbury,40.799021,SUNY College at Old Westbury, ,-73.571907,00710900  ,40.789842,-73.570966,00710900  ,
SUNY College at Oswego,43.454287,SUNY College at Oswego,SUNY Oswego,-76.540798,00284800  ,43.453047,-76.543885,00284800  ,
SUNY College at Plattsburgh,44.692930,SUNY College at Plattsburgh,SUNY Plattsburgh,-73.466536,00284900  ,44.691103,-73.467342,00284900  ,
SUNY College at Potsdam,44.662148,SUNY College at Potsdam,SUNY-Potsdam,-74.973815,00285000  ,44.662862,-74.976889,00285000  ,
SUNY College of Agriculture and Technology at Cobleskill,42.672534,SUNY College of Agriculture and Technology at Cobleskill,SUNY Cobleskill,-74.498258,00285600  ,42.661622,-74.504898,00285600  ,
SUNY College of Environmental Science and Forestry,43.034765,SUNY College of Environmental Science and Forestry,ESF,-76.138724,00285100  ,43.034355,-76.139236,00285100  ,
SUNY College of Optometry,40.754465,SUNY College of Optometry,SUNY Optometry  State College of Optometry  SUNY State College of Optometry,-73.982236,00992900  ,40.754465,-73.982236,00992900  ,
SUNY College of Technology at Alfred,42.255262,SUNY College of Technology at Alfred,Alfred State College,-77.794632,00285400  ,42.258744,-77.791058,00285400  ,
SUNY College of Technology at Canton,44.604096,SUNY College of Technology at Canton,SUNY Canton,-75.182906,00285500  ,44.607346,-75.185005,00285500  ,
SUNY College of Technology at Delhi,42.269859,SUNY College of Technology at Delhi,SUNY Delhi,-74.924612,00285700  ,42.270129,-74.924225,00285700  ,
SUNY Corning Community College,42.116736,SUNY Corning Community College, ,-77.072138,00286300  ,42.117240,-77.073708,00286300  ,
SUNY Cortland,42.598022,SUNY Cortland,SUNY Cortland,-76.188655,00284300  ,42.590158,-76.197909,00284300  ,
SUNY Downstate Health Sciences University,40.653855,SUNY Downstate Health Sciences University,SUNY Downstate Health Sciences University,-73.945535,00283900  ,40.655283,-73.943827,00283900  ,
SUNY Empire State College,43.077283,SUNY Empire State College, ,-73.782484,01028600  ,43.078304,-73.779915,01028600  ,
SUNY Maritime College,40.807217,SUNY Maritime College, ,-73.795309,00285300  ,40.809048,-73.800336,00285300  ,
SUNY Morrisville,42.893962,SUNY Morrisville, ,-75.640583,00285900  ,42.891392,-75.604369,00285900  ,
SUNY Oneonta,42.468861,SUNY Oneonta, ,-75.063632,00284700  ,42.466555,-75.064186,00284700  ,
SUNY Polytechnic Institute,43.137701,SUNY Polytechnic Institute,SUNY Poly,-75.229841,01167800  ,43.135280,-75.229200,01167800  ,
SUNY Westchester Community College,41.068458,SUNY Westchester Community College, ,-73.789669,00288100  ,41.067170,-73.788140,00288100  ,
SUNY-System Office,42.648047,SUNY-System Office,State University of New York System Administration,-73.749494,00878800  ,42.647976,-73.749737,00878800  ,
Surry Community College,36.384334,Surry Community College, ,-80.716834,00297000  ,36.384334,-80.716834,00297000  ,
Susquehanna County Career and Technology Center,41.738600,Susquehanna County Career and Technology Center,SCCTC | Susq. Co. CTC | SCC&TC | Susquehanna Co. CTC |,-75.955800,03561400  ,41.786380,-75.895510,03561400  ,
Susquehanna University,40.797502,Susquehanna University,Susquahanna|Susquehana|Sesquehanna,-76.875329,00336900  ,40.797740,-76.875210,00336900  ,
Sussex County Community College,41.067633,Sussex County Community College, ,-74.758079,02568800  ,41.067633,-74.758079,02568800  ,
Sutter Beauty College,39.131845,Sutter Beauty College, ,-121.633122,04190900  ,,,,
Swarthmore College,39.905159,Swarthmore College,Swat,-75.354278,00337000  ,39.904081,-75.356066,00337000  ,
Swedish Institute a College of Health Sciences,40.746384,Swedish Institute a College of Health Sciences, ,-73.995670,02170000  ,40.746384,-73.995670,02170000  ,
Sweet Briar College,37.556725,Sweet Briar College, ,-79.081014,00374200  ,37.556317,-79.079735,00374200  ,
Sylvain Melloul International Hair Academy,37.364298,Sylvain Melloul International Hair Academy,Sylvain Melloul Int'l Hair Academy  SMIHA,-79.179789,01159600  ,37.367227,-79.174906,01159600  ,
Syracuse University,43.040176,Syracuse University, ,-76.136975,00288200  ,43.037587,-76.135062,00288200  ,
Tabor College,38.348606,Tabor College,Tabor|TC,-97.200949,00194600  ,38.348606,-97.200960,00194600  ,
Tacoma Community College,47.244622,Tacoma Community College, ,-122.524793,00379600  ,47.246369,-122.521057,00379600  ,
Taft College,35.149343,Taft College, ,-119.459751,00130900  ,35.148858,-119.461803,00130900  ,
Taft University System,39.656632,Taft University System,Taft Law School  William Howard Taft University,-105.083815,04100400  ,33.696957,-117.914477,04100400  ,
Talladega College,33.433472,Talladega College, ,-86.112704,00104600  ,33.434258,-86.113675,00104600  ,
Tallahassee Community College,30.443866,Tallahassee Community College, ,-84.339000,00153300  ,30.445234,-84.341462,00153300  ,
Talmudic College of Florida,25.811996,Talmudic College of Florida,Talmudic University of Florida,-80.136293,02508900  ,25.794900,-80.141334,02508900  ,
Talmudical Academy-New Jersey,40.217456,Talmudical Academy-New Jersey, ,-74.250167,01198900  ,40.217171,-74.250332,01198900  ,
Talmudical Institute of Upstate New York,43.147062,Talmudical Institute of Upstate New York, ,-77.574943,02550600  ,43.147062,-77.574943,02550600  ,
Talmudical Seminary of Bobov,40.634485,Talmudical Seminary of Bobov, ,-73.995378,04115500  ,40.634729,-73.995267,04115500  ,
