instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
University of Massachusetts-Boston,-71.036865,42.312881,Boston,00222200  ,
University of Massachusetts-Central Office,-71.060761,42.358490,Boston,00801700  ,
University of Massachusetts-Dartmouth,-71.004552,41.628690,North Dartmouth,00221000  ,
University of Massachusetts-Lowell,-71.326809,42.652864,Lowell,00216100  ,
University of Memphis,-89.938068,35.118878,Memphis,00350900  ,
University of Miami,-80.278662,25.721260,Coral Gables,00153600  ,
University of Michigan-Ann Arbor,-83.742769,42.275921,Ann Arbor,00232500  ,
University of Michigan-Dearborn,-83.231417,42.317287,Dearborn,00232600  ,
University of Michigan-Flint,-83.690276,43.018750,Flint,00232700  ,
University of Minnesota-Crookston,-96.606188,47.802536,Crookston,00406900  ,
University of Minnesota-Duluth,-92.084385,46.817126,Duluth,00238800  ,
University of Minnesota-Morris,-95.899729,45.589775,Morris,00238900  ,
University of Minnesota-Rochester,-92.463471,44.022339,Rochester,00396903  ,
University of Minnesota-Twin Cities,-93.235464,44.972851,Minneapolis,00396900  ,
University of Mississippi,-89.537434,34.365529,University,00244000  ,
University of Missouri-Columbia,-92.328843,38.945310,Columbia,00251600  ,
University of Missouri-Kansas City,-94.582141,39.034179,Kansas City,00251800  ,
University of Missouri-St Louis,-90.311091,38.710312,Saint Louis,00251900  ,
University of Missouri-System Office,-92.340999,38.936820,Columbia,00251500  ,
University of Mobile,-88.128934,30.793247,Mobile,00102900  ,
University of Montevallo,-86.865099,33.106250,Montevallo,00100400  ,
University of Mount Olive,-78.069388,35.208166,Mount Olive,00294900  ,
University of Mount Union,-81.111029,40.905256,Alliance,00308300  ,
University of Nebraska at Kearney,-99.098699,40.701452,Kearney,00255100  ,
University of Nebraska at Omaha,-96.008516,41.258769,Omaha,00255400  ,
University of Nebraska Medical Center,-95.973966,41.256312,Omaha,00689500  ,
University of Nebraska-Central Administration System Office,-96.665203,40.827494,Lincoln,00802500  ,
University of Nebraska-Lincoln,-96.700508,40.817598,Lincoln,00256500  ,
University of Nevada-Las Vegas,-115.138462,36.106047,Las Vegas,00256900  ,
University of Nevada-Reno,-119.815377,39.543642,Reno,00256800  ,
University of New England,-70.385350,43.458591,Biddeford,00205000  ,
University of New Hampshire at Manchester,-71.468755,42.987209,Manchester,00258901  ,
University of New Hampshire-Franklin Pierce School of Law,-71.545152,43.207371,Concord,00258903  ,
University of New Hampshire-Main Campus,-70.932465,43.135934,Durham,00258900  ,
University of New Haven,-72.961472,41.291314,West Haven,00139700  ,
University of New Mexico-Gallup Campus,-108.727252,35.502662,Gallup,00266301  ,
University of New Mexico-Los Alamos Campus,-106.319557,35.886153,Los Alamos,00266303  ,
University of New Mexico-Main Campus,-106.620155,35.083868,Albuquerque,00266300  ,
University of New Mexico-Taos Campus,-105.651709,36.348861,Ranchos de Taos,00266304  ,
University of New Mexico-Valencia County Campus,-106.705371,34.728683,Los Lunas,00266302  ,
University of New Orleans,-90.067142,30.027704,New Orleans,00201500  ,
University of North Alabama,-87.681361,34.806738,Florence,00101600  ,
University of North Carolina at Asheville,-82.565392,35.617068,Asheville,00290700  ,
University of North Carolina at Chapel Hill,-79.050969,35.911769,Chapel Hill,00297400  ,
University of North Carolina at Charlotte,-80.730919,35.306022,Charlotte,00297500  ,
University of North Carolina at Greensboro,-79.809414,36.068236,Greensboro,00297600  ,
University of North Carolina at Pembroke,-79.200347,34.688313,Pembroke,00295400  ,
University of North Carolina School of the Arts,-80.235672,36.076183,Winston Salem,00398100  ,
University of North Carolina System,-79.029687,35.908783,Chapel Hill,00297100  ,
University of North Carolina Wilmington,-77.875527,34.225223,Wilmington,00298400  ,
University of North Dakota,-97.071738,47.921654,Grand Forks,00300500  ,
University of North Florida,-81.509144,30.271940,Jacksonville,00984100  ,
University of North Georgia,-83.985694,34.530219,Dahlonega,00158500  ,
University of North Texas,-97.148422,33.211178,Denton,00359400  ,
University of North Texas at Dallas,-96.803446,32.659588,Dallas,04242100  ,
University of North Texas Health Science Center,-97.369138,32.749907,Fort Worth,00976800  ,
University of North Texas System,-96.795217,32.781760,Dallas,00359400  ,
University of Northern Colorado,-104.692777,40.410855,Greeley,00134900  ,
University of Northern Iowa,-92.459703,42.514923,Cedar Falls,00189000  ,
University of Northwestern Ohio,-84.157004,40.762917,Lima,00486100  ,
University of Northwestern-St Paul,-93.167822,45.033703,Saint Paul,00237100  ,
University of Notre Dame,-86.238959,41.703058,Notre Dame,00184000  ,
University of Oklahoma-Health Sciences Center,-97.496289,35.479280,Oklahoma City,00318401  ,
University of Oklahoma-Norman Campus,-97.444211,35.209407,Norman,00318400  ,
University of Oregon,-123.075792,44.045146,Eugene,00322300  ,
University of Pennsylvania,-75.193910,39.950929,Philadelphia,00337800  ,
University of Phoenix-Arizona,-112.012761,33.411280,Phoenix,02098800  ,
University of Phoenix-California,-117.583770,34.065748,Ontario,32098800  ,
University of Phoenix-Colorado,-104.873171,39.551550,Lone Tree,02098869  ,
University of Phoenix-Florida,-81.419552,28.445605,Orlando,32098816  ,
University of Phoenix-Georgia,-84.358870,33.928881,Atlanta,82098876  ,
University of Phoenix-Hawaii,-157.863834,21.307923,Honolulu,32098839  ,
University of Phoenix-Illinois,-87.631863,41.886259,Chicago,32098850  ,
University of Phoenix-Louisiana,-91.150412,30.422403,Baton Rouge,32098864  ,
University of Phoenix-Michigan,-83.242621,42.482261,Southfield,32098879  ,
University of Phoenix-Nevada,-115.322506,36.121640,Las Vegas,82098816  ,
University of Phoenix-New Jersey,-74.033131,40.726763,Jersey City,82098880  ,
University of Phoenix-New Mexico,-106.580351,35.197176,Albuquerque,52098843  ,
University of Phoenix-North Carolina,-80.949346,35.152358,Charlotte,42098827  ,
University of Phoenix-Pennsylvania,-75.169354,39.952190,Philadelphia,42098854  ,
University of Phoenix-Tennessee,-89.796683,35.129851,Cordova,42098869  ,
University of Phoenix-Texas,-95.585258,29.783700,Houston,42098871  ,
University of Phoenix-Utah,-111.904474,40.653835,Salt Lake City,42098884  ,
University of Phoenix-Virginia,-76.136237,36.841322,Virginia Beach,82098875  ,
University of Phoenix-Washington,-122.246405,47.468400,Tukwila,52098845  ,
University of Pikeville,-82.521063,37.479232,Pikeville,00198000  ,
University of Pittsburgh Medical Center-Shadyside School of Nursing,-79.939494,40.454751,Pittsburgh,00657700  ,
University of Pittsburgh-Bradford,-78.673701,41.943415,Bradford,00337903  ,
University of Pittsburgh-Greensburg,-79.532676,40.276447,Greensburg,00337904  ,
University of Pittsburgh-Johnstown,-78.834163,40.265957,Johnstown,00337902  ,
University of Pittsburgh-Pittsburgh Campus,-79.953254,40.444388,Pittsburgh,00337900  ,
University of Pittsburgh-Titusville,-79.664156,41.628697,Titusville,00337901  ,
University of Portland,-122.726691,45.572724,Portland,00322400  ,
University of Providence,-111.270604,47.490713,Great Falls,00252700  ,
University of Puerto Rico-Aguadilla,-67.137930,18.498652,Aguadilla,01212300  ,
University of Puerto Rico-Arecibo,-66.741140,18.469199,Arecibo,00722800  ,
University of Puerto Rico-Bayamon,-66.143541,18.371398,Bayamon,01097500  ,
University of Puerto Rico-Carolina,-65.990165,18.392069,Carolina,03016000  ,
University of Puerto Rico-Cayey,-66.162066,18.118820,Cayey,00720600  ,
University of Puerto Rico-Central Administration,-66.056329,18.389590,San Juan,00394200  ,
University of Puerto Rico-Humacao,-65.838602,18.146589,Humacao,00394300  ,
University of Puerto Rico-Mayaguez,-67.139172,18.211142,Mayaguez,00394400  ,
University of Puerto Rico-Medical Sciences,-66.074894,18.396548,San Juan,02460000  ,
University of Puerto Rico-Ponce,-66.606215,17.993314,Ponce,00965200  ,
University of Puerto Rico-Rio Piedras,-66.050009,18.402826,San Juan,00710800  ,
University of Puerto Rico-Utuado,-66.721667,18.254577,Utuado,01092200  ,
University of Puget Sound,-122.478982,47.263080,Tacoma,00379700  ,
University of Redlands,-117.163218,34.064218,Redlands,00132200  ,
University of Rhode Island,-71.527356,41.484691,Kingston,00341400  ,
University of Richmond,-77.538806,37.577393,University of Richmond,00374400  ,
University of Rio Grande,-82.378852,38.881764,Rio Grande,00311600  ,
University of Rochester,-77.631202,43.126397,Rochester,00289400  ,
University of Saint Francis-Fort Wayne,-85.177246,41.087205,Fort Wayne,00183200  ,
University of Saint Joseph,-72.729650,41.781041,West Hartford,00140900  ,
University of Saint Katherine,-117.196552,33.151283,San Marcos,04259700  ,
University of Saint Mary,-94.906743,39.279396,Leavenworth,00194300  ,
University of Saint Mary of the Lake,-88.000262,42.280702,Mundelein,00176500  ,
University of San Diego,-117.192073,32.770816,San Diego,01039500  ,
University of San Francisco,-122.450477,37.776618,San Francisco,00132500  ,
University of Science and Arts of Oklahoma,-97.956410,35.031392,Chickasha,00316700  ,
University of Scranton,-75.656915,41.406556,Scranton,00338400  ,
University of Sioux Falls,-96.738229,43.531574,Sioux Falls,00346900  ,
University of South Alabama,-88.178711,30.696033,Mobile,00105700  ,
University of South Carolina Aiken,-81.767612,33.572704,Aiken,00344900  ,
University of South Carolina Beaufort,-80.973595,32.303308,Bluffton,00345000  ,
University of South Carolina-Columbia,-81.026935,33.996788,Columbia,00344800  ,
University of South Carolina-Lancaster,-80.787069,34.736282,Lancaster,00345300  ,
University of South Carolina-Salkehatchie,-81.301838,33.014312,Allendale,00345400  ,
University of South Carolina-Sumter,-80.373459,33.934698,Sumter,00342600  ,
University of South Carolina-Union,-81.621042,34.717771,Union,00492700  ,
University of South Carolina-Upstate,-81.970583,34.996403,Spartanburg,00695100  ,
University of South Dakota,-96.925283,42.786019,Vermillion,00347400  ,
University of South Florida-Main Campus,-82.413232,28.061458,Tampa,00153700  ,
University of South Florida-Sarasota-Manatee,-82.562725,27.391580,Sarasota,00153702  ,
University of South Florida-St Petersburg,-82.636136,27.763872,St. Petersburg,00153701  ,
University of Southern California,-118.284169,34.021281,Los Angeles,00132800  ,
University of Southern Indiana,-87.677214,37.962374,Evansville,00180800  ,
University of Southern Maine,-70.274247,43.662863,Portland,00205400  ,
University of Southern Mississippi,-89.331236,31.326610,Hattiesburg,00244100  ,
University of Spa & Cosmetology Arts,-89.710839,39.766720,Springfield,02124400  ,
University of St Francis,-88.096057,41.532225,Joliet,00166400  ,
University of St Thomas,-95.393102,29.736438,Houston,00365400  ,
University of St Thomas,-93.188986,44.943439,Saint Paul,00234500  ,
University of St. Augustine for Health Sciences,-117.165964,33.151849,San Marcos,03171300  ,
University of Texas Health Science Center at Tyler,-95.213526,32.425963,Tyler,04243900  ,
University of Texas Southwestern Medical Center,-96.841156,32.812307,Dallas,01001900  ,
University of the Cumberlands,-84.161646,36.737048,Williamsburg,00196200  ,
University of the District of Columbia,-77.066247,38.943819,Washington,00144100  ,
University of the District of Columbia-David A Clarke School of Law,-77.065221,38.946210,Washington,00144102  ,
University of the Incarnate Word,-98.465830,29.467080,San Antonio,00357800  ,
University of the Ozarks,-93.467221,35.476278,Clarksville,00109400  ,
University of the Pacific,-121.312301,37.981424,Stockton,00132900  ,
University of the People,-118.133530,34.141906,Pasadena,-2        ,
University of the Potomac-VA Campus,-77.216062,38.906944,FALLS CHURCH,03218301  ,
University of the Potomac-Washington DC Campus,-77.032531,38.900540,Washington,03218300  ,
University of the Sciences,-75.207001,39.946412,Philadelphia,00335300  ,
University of the Southwest,-103.186948,32.775496,Hobbs,00265000  ,
University of the Virgin Islands,-64.972866,18.344193,Charlotte Amalie,00394600  ,
University of the West,-118.082964,34.045985,Rosemead,03696300  ,
University of Toledo,-83.614714,41.660572,Toledo,00313100  ,
University of Tulsa,-95.945941,36.152324,Tulsa,00318500  ,
University of Utah,-111.846044,40.762484,Salt Lake City,00367500  ,
University of Valley Forge,-75.546900,40.117835,Phoenixville,00330600  ,
University of Vermont,-73.196646,44.477325,Burlington,00369600  ,
University of Virginia-Main Campus,-78.503428,38.035665,Charlottesville,00374500  ,
University of Washington-Bothell Campus,-122.191293,47.759773,Bothell,00379802  ,
University of Washington-Seattle Campus,-122.305140,47.655380,Seattle,00379800  ,
University of Washington-Tacoma Campus,-122.438541,47.244594,Tacoma,00379801  ,
University of West Alabama,-88.186329,32.588132,Livingston,00102400  ,
University of West Georgia,-85.097762,33.573621,Carrollton,00160100  ,
University of West Los Angeles,-118.369570,33.947341,Inglewood,02052300  ,
University of Western States,-122.525979,45.543253,Portland,01230900  ,
University of Wisconsin Colleges Flex,-89.477124,43.056602,Madison,00392060  ,
University of Wisconsin-Eau Claire,-91.501906,44.798284,Eau Claire,00391700  ,
University of Wisconsin-Green Bay,-87.919973,44.532298,Green Bay,00389900  ,
University of Wisconsin-La Crosse,-91.231860,43.815680,La Crosse,00391900  ,
University of Wisconsin-Madison,-89.404098,43.075409,Madison,00389500  ,
University of Wisconsin-Milwaukee,-87.880488,43.076848,Milwaukee,00389600  ,
University of Wisconsin-Milwaukee Flex,-87.880488,43.076848,Milwaukee,00389600  ,
University of Wisconsin-Oshkosh,-88.549369,44.026206,Oshkosh,00392000  ,
University of Wisconsin-Parkside,-87.855231,42.647718,Kenosha,00501500  ,
University of Wisconsin-Parkside Flex,-87.855007,42.645603,Kenosha,00501500  ,
University of Wisconsin-Platteville,-90.486220,42.733451,Platteville,00392100  ,
University of Wisconsin-River Falls,-92.622641,44.853400,River Falls,00392300  ,
University of Wisconsin-Stevens Point,-89.570934,44.529582,Stevens Point,00392400  ,
University of Wisconsin-Stout,-91.926653,44.873187,Menomonie,00391500  ,
University of Wisconsin-Superior,-92.091007,46.717629,Superior,00392500  ,
University of Wisconsin-System Administration,-89.406804,43.075674,Madison,00389400  ,
University of Wisconsin-Whitewater,-88.742368,42.835563,Whitewater,00392600  ,
University of Wyoming,-105.579310,41.311773,Laramie,00393200  ,
University System of Maryland,-76.605479,39.286077,Baltimore,00795900  ,
University System of Maryland-Research Centers,-76.954273,39.004723,Adelphi,00795900  ,
University System of New Hampshire System Office,-71.494937,43.212833,Concord,00802700  ,
Unlimited Cosmetology School,-89.304277,31.325283,Hattiesburg,04267100  ,
UPMC Jameson School of Nursing,-80.353000,41.026499,New Castle,00820000  ,
UPMC Mercy School of Nursing,-79.986445,40.435584,Pittsburgh,00489900  ,
Upper Cape Cod Regional Technical School,-70.578837,41.745328,Bourne,00466900  ,
Upper Iowa University,-91.799543,42.838283,Fayette,00189300  ,
Upper Valley Career Center,-84.213946,40.161207,Piqua,02116900  ,
Upper Valley Educators Institute,-72.230822,43.637595,Lebanon,03437300  ,
Upstate Medical University,-76.140009,43.041819,Syracuse,00284000  ,
UR Beauty & Barber Academy,-81.503571,27.535842,Sebring,04269700  ,
Urban 113 School of Cosmetology,-114.469533,42.555761,TWIN FALLS,04150600  ,
Urban Barber College,-122.039090,37.975087,Concord,04270000  ,
Urban College of Boston,-71.064200,42.352922,Boston,03130500  ,
Urbana University,-83.760301,40.102594,Urbana,00313300  ,
Urshan College,-90.830252,38.808034,Wentzville,04282700  ,
Urshan Graduate School of Theology,-90.830252,38.808034,Wentzville,04146100  ,
Ursinus College,-75.456505,40.193023,Collegeville,00338500  ,
Ursuline College,-81.465118,41.497035,Pepper Pike,00313400  ,
Uta Mesivta of Kiryas Joel,-74.161179,41.333864,Monroe,03802300  ,
Utah State University,-111.813910,41.740748,Logan,00367700  ,
Utah Valley University,-111.716456,40.281078,Orem,00402700  ,
Utica College,-75.272916,43.096213,Utica,00288300  ,
Valdosta State University,-83.289282,30.847402,Valdosta,00159900  ,
Valencia College,-81.471466,28.520898,Orlando,00675000  ,
Valley City State University,-98.003890,46.918517,Valley City,00300800  ,
Valley College of Medical Careers,-118.606731,34.221839,West Hills,04114500  ,
Valley College-Beckley,-81.187539,37.789287,Beckley,03084400  ,
Valley College-Cleveland,-81.747723,41.419409,Cleveland,02609403  ,
Valley College-Martinsburg,-77.959272,39.486897,Martinsburg,02609400  ,
Valley College-Princeton,-81.091858,37.369159,Princeton,03084200  ,
Valley Forge Military College,-75.382097,40.053697,Wayne,00338600  ,
Valley Grande Institute for Academic Studies,-97.990391,26.158256,Weslaco,03612400  ,
Valor Christian College,-82.829696,39.891571,Canal Winchester,04224300  ,
Valparaiso University,-87.040172,41.462239,Valparaiso,00184200  ,
Vance-Granville Community College,-78.487651,36.323887,Henderson,00990300  ,
Vanderbilt University,-86.803369,36.146590,Nashville,00353500  ,
VanderCook College of Music,-87.629138,41.836833,Chicago,00177800  ,
Vanguard College of Cosmetology-Baton Rouge,-91.044491,30.411070,Baton Rouge,02554801  ,
Vanguard College of Cosmetology-Metairie,-90.163276,30.004827,Metairie,02554800  ,
Vanguard College of Cosmetology-Slidell,-89.780944,30.226578,Slidell,02554803  ,
Vanguard University of Southern California,-117.900911,33.662686,Costa Mesa,00129300  ,
Vanguard-Sentinel Adult Career and Technology Center,-83.128188,41.365056,Fremont,03116400  ,
Vassar College,-73.895088,41.686895,Poughkeepsie,00289500  ,
Vaughn Beauty College,-88.541839,33.824420,Aberdeen,04282400  ,
Vaughn College of Aeronautics and Technology,-73.881721,40.768348,Flushing,00266500  ,
Veeb Nassau County School of Practical Nursing,-73.520569,40.766548,Hicksville,01229300  ,
Velvatex College of Beauty Culture,-92.289597,34.735685,Little Rock,03214300  ,
Venango County Area Vocational Technical School,-79.687135,41.426492,Oil City,02306200  ,
Ventura Adult and Continuing Education,-119.219561,34.256061,Ventura,03084700  ,
Ventura College,-119.230604,34.277393,Ventura,00133400  ,
Ventura County Community College System Office,-119.057951,34.219073,Camarillo,00686300  ,
Venus Beauty Academy,-75.273105,39.908715,Sharon Hill,02061000  ,
Veritas Baptist College,-84.826170,39.145234,Greendale,03862600  ,
Vermilion Community College,-91.837777,47.905184,Ely,00235000  ,
Vermont College of Fine Arts,-72.567616,44.255210,Montpelier,00369700  ,
Vermont Law School,-72.520919,43.821406,South Royalton,01193400  ,
Vermont State Colleges-Office of the Chancellor,-72.572581,44.254250,Montpelier,02916200  ,
Vermont Technical College,-72.604498,43.939623,Randolph,00369800  ,
Vernon College,-99.319094,34.159298,Vernon,01006000  ,
Verve College,-87.984611,41.844020,Oak Brook,04179100  ,
Vet Tech Institute,-80.000229,40.443884,Pittsburgh,00856800  ,
Vet Tech Institute of Houston,-95.455533,29.728907,Houston,02144800  ,
VH Barber & Styling Academy,-93.734012,32.515941,Bossier City,04248900  ,
Vibe Barber College,-90.036149,35.165189,memphis,04215200  ,
VICI Beauty School,-88.049912,42.969877,Greenfield,01148400  ,
Victor Valley College,-117.261456,34.472231,Victorville,00133500  ,
Victoria Beauty College Inc,-96.990854,28.807928,Victoria,01202000  ,
Victoria College,-96.979226,28.816446,Victoria,00366200  ,
Victoria's Academy of Cosmetology,-119.118142,46.206992,Kennewick,04127200  ,
Victory Career College,-118.291723,33.854769,Torrance,04273300  ,
Villa Maria College,-78.796823,42.912230,Buffalo,00289600  ,
Villanova University,-75.345457,40.039388,Villanova,00338800  ,
Vincennes Beauty College,-87.532410,38.679739,Vincennes,01015100  ,
Vincennes University,-87.519939,38.687766,Vincennes,00184300  ,
Virgil's Beauty College,-95.380222,35.751130,Muskogee,00791100  ,
Virginia Beach City Public Schools School of Practical Nursing,-76.074108,36.743065,Virginia Beach,03042800  ,
Virginia Beach Theological Seminary,-76.189475,36.765993,Virginia Beach,03966300  ,
Virginia Commonwealth University,-77.452697,37.549620,Richmond,00373500  ,
Virginia Highlands Community College,-82.001118,36.698866,Abingdon,00709900  ,
Virginia International University,-77.347751,38.849050,Fairfax,04144000  ,
Virginia Military Institute,-79.437067,37.789600,Lexington,00375300  ,
Virginia Polytechnic Institute & State University,-79.942599,37.257489,Roanoke,00375414  ,
Virginia Polytechnic Institute and State University,-80.423675,37.229012,Blacksburg,00375400  ,
Virginia School of Hair Design,-76.346436,37.025306,Hampton,00953700  ,
Virginia Sewing Machines and School Center,-118.224860,33.982700,Huntington Park,03150500  ,
Virginia State University,-77.419026,37.234692,Petersburg,00376400  ,
Virginia Union University,-77.450903,37.562405,Richmond,00376600  ,
Virginia University of Integrative Medicine,-77.269749,38.844541,Fairfax,04239500  ,
Virginia University of Lynchburg,-79.151615,37.395187,Lynchburg,00376200  ,
Virginia Wesleyan University,-76.186060,36.868417,Virginia Beach,00376700  ,
Virginia Western Community College,-79.973011,37.245029,Roanoke,00376000  ,
Visible Music College,-90.049381,35.144586,Memphis,03982300  ,
Vista Adult School,-117.240253,33.187334,Vista,-2        ,
Vista College,-106.411952,31.786912,El Paso,02572000  ,
Vista College-Online,-96.768201,32.955180,Richardson,02572800  ,
Viterbo University,-91.244297,43.803133,La Crosse,00391100  ,
Vogue Beauty and Barber School,-84.746624,33.909059,Hiram,03116100  ,
Vogue College of Cosmetology,-98.602991,29.465563,San Antonio,04178300  ,
Vogue College of Cosmetology-McAllen,-98.223022,26.232656,McAllen,04178400  ,
Vogue College of Cosmetology-San Antonio Fredericksburg,-98.523455,29.462345,San Antonio,04178200  ,
Vogue College of Cosmetology-Santa Fe,-105.981816,35.659082,Santa Fe,04178500  ,
Vogue International Academy,-95.638805,29.734776,Houston,04272600  ,
Volunteer State Community College,-86.497127,36.362518,Gallatin,00991200  ,
Voorhees College,-81.127863,33.307199,Denmark,00345500  ,
Vski Cosmetology School,-80.031699,32.798291,Charleston,04281500  ,
W L Bonner College,-81.033046,34.039816,Columbia,03856400  ,
Wabash College,-86.906000,40.037588,Crawfordsville,00184400  ,
Wabash Valley College,-87.778448,38.428890,Mount Carmel,00177900  ,
Wade College,-96.819516,32.800854,Dallas,01013000  ,
Wade Gordon Hairdressing Academy,-101.927422,35.183505,Amarillo,04205200  ,
Wade Gordon Hairdressing Academy,-101.934619,35.183525,Amarillo,04205202  ,
Wade Gordon Hairdressing Academy-Lubbock,-101.869638,33.524818,Lubbock,04205201  ,
Wagner College,-74.092913,40.615588,Staten Island,00289900  ,
Wake Forest University,-80.277446,36.133609,Winston-Salem,00297800  ,
Wake Technical Community College,-78.706126,35.650151,Raleigh,00484400  ,
Walden University,-93.265738,44.981250,Minneapolis,02504200  ,
Waldorf University,-93.641714,43.262923,Forest City,00189500  ,
Walla Walla Community College,-118.276505,46.078557,Walla Walla,00500600  ,
Walla Walla University,-118.389555,46.048088,College Place,00379900  ,
Walsh College,-83.147197,42.573888,Troy,00407100  ,
Walsh University,-81.369931,40.873908,North Canton,00313500  ,
Walters State Community College,-83.262503,36.213179,Morristown,00886300  ,
Warner Pacific University,-122.592498,45.506265,Portland,00322500  ,
Warner Pacific University Professional and Graduate Studies,-122.562530,45.503764,Portland,00322500  ,
Warner University,-81.599972,27.825751,Lake Wales,00884800  ,
Warren County Career Center,-84.202969,39.488772,Lebanon,02245600  ,
Warren County Community College,-75.018309,40.744812,Washington,02503900  ,
Warren Wilson College,-82.442619,35.610328,Swannanoa,00297900  ,
Warrensburg Area Career Center,-93.707140,38.761649,Warrensburg,01102600  ,
Wartburg College,-92.483387,42.727700,Waverly,00189600  ,
Wartburg Theological Seminary,-90.691225,42.485761,Dubuque,00189700  ,
Washburn Institute of Technology,-95.751158,39.044970,Topeka,00194901  ,
Washburn University,-95.702222,39.033778,Topeka,00194900  ,
Washington & Jefferson College,-80.240490,40.170622,Washington,00338900  ,
Washington Adventist University,-77.000608,38.986349,Takoma Park,00206700  ,
Washington and Lee University,-79.443018,37.788939,Lexington,00376800  ,
Washington Barber College Inc,-92.335352,34.690650,Little Rock,04183100  ,
Washington College,-76.068780,39.217329,Chestertown,00210800  ,
Washington County Career Center-Adult Technical Training,-81.501060,39.432990,Marietta,03034200  ,
Washington County Community College,-67.243306,45.165537,Calais,00923100  ,
Washington Hospital School of Nursing,-80.245709,40.183984,Washington,00658200  ,
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,-73.594331,43.321490,Hudson Falls,02158200  ,
Washington State Community College,-81.433920,39.430824,Marietta,01045300  ,
Washington State University,-117.158168,46.730448,Pullman,00380000  ,
Washington University in St Louis,-90.310604,38.647929,Saint Louis,00252000  ,
Washtenaw Community College,-83.665590,42.263610,Ann Arbor,00232800  ,
Watkins College of Art Design & Film,-86.805888,36.194659,Nashville,03088800  ,
Watts School of Nursing,-78.941300,36.027649,Durham,00648300  ,
Waubonsee Community College,-88.459925,41.795955,Sugar Grove,00693100  ,
Waukesha County Technical College,-88.256292,43.071444,Pewaukee,00529400  ,
Wave Leadership College,-76.043121,36.864710,Virginia Beach,04241500  ,
Wayland Baptist University,-101.730042,34.187677,Plainview,00366300  ,
Wayne Community College,-77.945873,35.403079,Goldsboro,00298000  ,
Wayne County Community College District,-83.054497,42.327299,Detroit,00923000  ,
Wayne County Schools Career Center,-81.868927,40.863781,Smithville,00915600  ,
Wayne Finger Lakes BOCES-Practical Nursing Program,-77.081794,43.038167,Newark,02146000  ,
Wayne State College,-97.015122,42.241556,Wayne,00256600  ,
Wayne State University,-83.068998,42.358994,Detroit,00232900  ,
Waynes College of Beauty,-121.652672,36.700635,Salinas,02061600  ,
Waynesburg University,-80.186205,39.899871,Waynesburg,00339100  ,
Waynesville Career Center,-92.213930,37.811315,Waynesville,00528900  ,
Weatherford College,-97.792629,32.741330,Weatherford,00366400  ,
Webb Institute,-73.644909,40.884444,Glen Cove,00290000  ,
Webber International University,-81.532315,27.838778,Babson Park,00154000  ,
Weber State University,-111.944845,41.192591,Ogden,00368000  ,
Webster University,-90.345151,38.588875,Saint Louis,00252100  ,
Weill Cornell Medical College,-73.954839,40.764738,New York,00271101  ,
Welch College,-86.549153,36.367190,Gallatin,03001800  ,
Welder Training and Testing Institute,-75.447263,40.626469,Allentown,01162200  ,
Wellesley College,-71.306605,42.291554,Wellesley,00222400  ,
Wells College,-76.696028,42.742943,Aurora,00290100  ,
WellSpring School of Allied Health-Kansas City,-94.604997,38.963226,Kansas City,03970400  ,
WellSpring School of Allied Health-Lawrence,-95.235123,38.965848,Lawrence,03970401  ,
WellSpring School of Allied Health-Springfield,-93.291006,37.229916,Springfield,03970402  ,
WellSpring School of Allied Health-Wichita,-97.442623,37.673562,Wichita,03970403  ,
Wenatchee Valley College,-120.337198,47.431234,Wenatchee,00380100  ,
Wentworth Institute of Technology,-71.094983,42.336632,Boston,00222500  ,
Wes Watkins Technology Center,-96.266262,35.233305,Wetumka,02600500  ,
Wesley Biblical Seminary,-90.111379,32.400142,Ridgeland,02516200  ,
Wesley College,-75.527716,39.163182,Dover,00143300  ,
Wesley Theological Seminary,-77.089960,38.939606,Washington,00146400  ,
Wesleyan College,-83.715417,32.876037,Macon,00160000  ,
Wesleyan University,-72.657146,41.554665,Middletown,00142400  ,
West Chester University of Pennsylvania,-75.598120,39.953398,West Chester,00332800  ,
West Coast Ultrasound Institute,-118.302836,34.061409,Los Angeles,03639300  ,
West Coast University-Center for Graduate Studies,-118.291310,34.081505,Los Angeles,03698307  ,
West Coast University-Dallas,-96.873805,32.827460,Dallas,03698304  ,
West Coast University-Los Angeles,-118.399410,34.187134,North Hollywood,03698300  ,
West Coast University-Miami,-80.347651,25.810710,Doral,03698308  ,
West Coast University-Ontario,-117.590035,34.066591,Ontario,03698302  ,
West Coast University-Orange County,-117.911811,33.811040,Anaheim,03698301  ,
West Georgia Technical College,-85.183666,33.691657,Waco,01048700  ,
West Hills College-Coalinga,-120.356747,36.147891,Coalinga,00117600  ,
West Hills College-Lemoore,-119.823866,36.292431,Lemoore,04111300  ,
West Hills Community College District,-120.356097,36.178802,Coalinga,00470000  ,
West Kentucky Community and Technical College,-88.658762,37.054081,Paducah,00197900  ,
West Liberty University,-80.602256,40.164417,West Liberty,00382300  ,
West Los Angeles College,-118.386664,34.004512,Culver City,00859600  ,
West Michigan College of Barbering and Beauty,-85.590244,42.259329,Kalamazoo,02491000  ,
West Shore Community College,-86.336122,44.008512,Scottville,00795000  ,
West Texas A & M University,-101.914736,34.982789,Canyon,00366500  ,
