instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Alfred University,-77.788106,42.254476,Alfred,00266800  ,
Alhambra Beauty College,-118.129041,34.093916,Alhambra,02282300  ,
Alhambra Medical University,-118.148684,34.080181,Alhambra,04243100  ,
Alice Lloyd College,-82.875068,37.335087,Pippa Passes,00195100  ,
All Beauty College,-114.338235,34.496060,Lake Havasu City,04174202  ,
All Beauty College,-114.027481,35.239812,Kingman,04174201  ,
All Beauty College,-114.600955,35.021355,Fort Mohave,04174200  ,
All-State Career School,-75.303038,39.866057,Essington,02495500  ,
All-State Career School-Health Sciences,-75.302151,39.866163,Essington,02495502  ,
All-State Career School-Pittsburgh,-79.937130,40.358492,West Mifflin,03493302  ,
All-State Career-Baltimore,-76.544942,39.264664,Baltimore,03493300  ,
Allan Hancock College,-120.421144,34.943716,Santa Maria,00111100  ,
Allegany College of Maryland,-78.730398,39.652152,Cumberland,00205700  ,
Allegheny College,-80.147168,41.648690,Meadville,00323000  ,
Allegheny Wesleyan College,-80.861232,40.867220,Salem,03457300  ,
Allen College,-92.340148,42.530084,Waterloo,03069100  ,
Allen County Community College,-95.396377,37.938038,Iola,00190100  ,
Allen School-Brooklyn,-73.991546,40.693797,Brooklyn,03358301  ,
Allen School-Jamaica,-73.796295,40.704694,Jamaica,03358300  ,
Allen School-Phoenix,-112.117430,33.629635,Phoenix,03358303  ,
Allen University,-81.020045,34.010348,Columbia,00341700  ,
Allgood Beauty Institute,-96.804131,33.157310,Frisco,04267200  ,
Alliance Career Center,-81.111225,40.911271,Alliance,03015100  ,
Alliance Computing Solutions,-73.831481,40.761560,Flushing,04223300  ,
Alliant International University-San Diego,-117.094398,32.897056,San Diego,01111700  ,
Allied Health Careers Institute,-86.391495,35.827799,Murfreesboro,04253100  ,
Allstate Hairstyling & Barber College,-81.704403,41.484002,Cleveland,02324400  ,
Alma College,-84.672053,43.380040,Alma,00223600  ,
Alpena Community College,-83.445069,45.081647,Alpena,00223700  ,
Altierus Career College-Bissonnet,-95.544702,29.677415,Houston,00149916  ,
Altierus Career College-Norcross,-84.155475,33.934121,Norcross,00149917  ,
Altierus Career College-Tampa,-82.497616,27.996582,Tampa,00149900  ,
Altierus Career College-Thornton,-104.985441,39.861560,Thornton,00450700  ,
Altoona Beauty School Inc,-78.387852,40.501861,Altoona,02290400  ,
Alvernia University,-75.936754,40.310028,Reading,00323300  ,
Alverno College,-87.965174,42.982842,Milwaukee,00383200  ,
Alvin Community College,-95.240671,29.396244,Alvin,00353900  ,
Amarillo College,-101.846988,35.187839,Amarillo,00354000  ,
Amberton University,-96.653020,32.859931,Garland,02259400  ,
Ambiance Beauty & Barber Academy Inc,-80.673575,28.117559,Melbourne,04195100  ,
Ambria College of Nursing,-88.210900,42.075628,Hoffman Estates,04124700  ,
America Evangelical University,-118.308661,34.041239,Los Angeles,04227100  ,
American Academy McAllister Institute of Funeral Service,-73.993782,40.769031,New York,01081300  ,
American Academy of Acupuncture and Oriental Medicine,-93.181060,45.015332,Roseville,03833300  ,
American Academy of Art,-87.624788,41.877420,Chicago,00162800  ,
American Academy of Cosmetology,-81.798803,30.123757,Orange Park,04151500  ,
American Academy of Dramatic Arts-Los Angeles,-118.343701,34.095378,Los Angeles,00746501  ,
American Academy of Dramatic Arts-New York,-73.984843,40.745545,New York,00746500  ,
American Academy of Health and Beauty,-71.480701,42.967431,Manchester,04162200  ,
American Advanced Technicians Institute,-80.323025,25.884901,Hialeah,03491400  ,
American Baptist College,-86.789912,36.202623,Nashville,01046000  ,
American Baptist Seminary of the West,-122.256149,37.865252,Berkeley,00112000  ,
American Barber Academy,-75.930347,40.322290,Reading,04257900  ,
American Beauty Academy,-111.733488,40.034634,Payson,04169900  ,
American Beauty Academy-West Valley Campus,-111.938189,40.692128,West Valley City,04169901  ,
American Beauty College,-117.936959,34.069367,West Covina,01307400  ,
American Beauty School,-73.860639,40.835331,Bronx,03903400  ,
American Beauty Schools,-80.327707,25.761572,Miami,04263500  ,
American Business and Technology University,-94.819797,39.779095,St Joseph,04118700  ,
American Career College-Anaheim,-117.975599,33.849912,Anaheim,02241801  ,
American Career College-Los Angeles,-118.292481,34.079323,Los Angeles,02241800  ,
American Career College-Ontario,-117.583814,34.068204,Ontario,03971300  ,
American College for Medical Careers,-81.402271,28.470997,Orlando,00466600  ,
American College of Acupuncture and Oriental Med,-95.524765,29.735747,Houston,03153300  ,
American College of Barbering,-85.670147,38.084678,Louisville,04204800  ,
American College of Education,-86.160161,39.769750,Indianapolis,04151300  ,
American College of Financial Services,-75.394652,40.101644,King of Prussia,03317300  ,
American College of Hair Design Inc,-93.269026,38.711715,Sedalia,02309100  ,
American College of Hairstyling-Des Moines,-93.610159,41.592324,Des Moines,00765800  ,
American College of Healthcare and Technology,-117.493507,33.901581,Riverside,03144400  ,
